"frap_final","nucleus_avg","cytoplasm_avg","nufoci_avg","control_avg"
1,1,1,1,1
0.205015410185799,0.689657671853998,0.906545219876951,0.9034742843229,1.00670657317608
0.30455581468761,0.707068756199374,1.02158037054171,1.02049218887614,0.936020713149793
0.265401631015089,0.674395556204294,0.999643295885989,1.09593578651121,0.965772538093276
0.19400828837032,0.515684986561813,0.81423421995467,0.97987014242925,0.989309561996103
0.251949140554458,0.694321367665948,0.887895375506138,1.0621804133196,0.933958581332846
0.269918540773776,0.645591359703651,0.915228625434331,1.03773865977267,0.910781287915518
0.157287273877531,0.542235962143917,0.880349046023589,0.869214843347036,1.01752904235273
0.208985375737945,0.669129778263922,0.855833331639042,0.913289478877543,0.964648607805981
0.267545199306825,0.664695491824757,0.941506066017279,0.885949245549492,0.904540491355821
0.329401226345358,0.67465143779083,1.02851372320003,0.956053393131962,0.83877150687972
0.378826041973899,0.681530180236747,1.12640649005879,0.949154359036881,0.802183444965102
0.359277714945181,0.652939123059322,1.08401230013294,0.896918130139496,0.822041430243527
0.275113839356268,0.587818142863542,1.02947012051495,0.766058484987837,0.870397519285658
0.291752589671835,0.626043762810985,0.946897483061708,0.845647638219269,0.858206591621959
0.363072540845723,0.726146825858705,1.11660930875112,0.960824289465841,0.777033869422596
0.41017110417275,0.729418537436154,0.926191025579392,1.03082930530427,0.734326826802195
0.395127466631149,0.673607421657133,1.08931802529418,0.978669485346879,0.739883652696897
0.385196597217601,0.674844899998817,1.1062623298089,0.963132408210115,0.740721821631113
0.402132755288912,0.675430981392125,1.08664032229783,0.918516778236844,0.727557867767014
